indian_commodity_name,commodity_category_fssai,icmr_nin_ifct_code,moisture_content_pct,fat_content_pct,ph_level,water_activity_aw,respiration_rate_mg_co2_kg_hr,target_shelf_life_days,storage_temperature_c,ambient_relative_humidity_pct,supply_chain_logistics,storage_regime,recommended_biodegradable_packaging,biodegradable_layer_structure,recommended_gauge_thickness_microns,target_otr_cc_m2_day_atm,target_wvtr_g_m2_day,sealing_mechanism,mechanical_strength_requirement,map_suitability,recommended_gas_composition,fssai_packaging_regulations_2018_clause,prescribed_bis_is_standard,fssai_migration_limit_compliance,cpcb_plastic_waste_management_rule_category,commercial_trade_reference_india,legal_and_scientific_source_citation
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.87,12.57,6.08,0.25,0,111,25.8,79.3,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,69,33.6,1.35,Hermetic Vacuum Strip Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Toor Dal (Split Pigeon Peas),Pulses & Legumes,C001,10.02,1.59,6.38,0.52,0,223,30.6,48.3,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,High-Transparency Compostable PLA/PBAT Blown Film Bag,Monolayer: 50µm Extruded Ingeo PLA / Bio-Flex PBAT Blend,58,163.5,3.62,Continuous Band Heat Seal (110-125°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (insect resistance),Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® FX 1130 (FKuR) / Ecovio® F,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Pulse Storage Bulletin
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.56,1.64,6.31,0.58,0,129,31.8,48.8,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,97,233.9,4.98,Heat Sealable Bottom / Pinch Top Bio-Adhesive,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,8.91,4.58,6.16,0.45,0,348,28,47.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,86,0.7,0.5,Heat Seal with Resealable Bio-Zipper,Aroma-Lock High Puncture Resistance,No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,86.15,0.64,5.4,0.98,46.3,21,9.7,90.8,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,26,6924.5,35.94,Continuous Heat Seal with Gas Vents,Medium High,Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.86,5.61,6.29,0.54,0,114,27.1,67.4,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,100,182.7,4.45,Heat Sealed Bottom / Ultrasonic Pinch Top,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Alphonso Mangoes (GI Tagged Ratnagiri),Fresh Horticultural Produce,D001,81.95,0.34,4.14,0.98,26.4,19,12,86.7,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Chilled / Ambient Controlled,Molded Sugarcane Bagasse Punnet with Laser Micro-perforated NatureFlex™ Lidding,Base: 400gsm Heavy-duty Sugarcane Bagasse / Lid: 25µm Micro-perforated Cellulosic Film,29,5721.5,26.8,Ventilated Lid Heat Seal / Bio-Elastomer Band,High Cushioning against Chilling Injury & Transit Bruising,Yes,"3-5% O2, 5-8% CO2, balance N2 (delays climacteric ethylene peak)",Cl. 3(4) & Prohibition of Calcium Carbide / Ethylene chemical contamination,"IS/ISO 17088, IS 2771, IS 9845",Agro-residue pulp; Zero PFAS fluorochemicals; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Pakka (Chuk!) Bagasse Trays + NatureFlex™ NK,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kudachikar et al., CSIR-CFTRI"
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.52,0.17,6.09,0.99,56.7,7,9.1,91.5,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,34,7683.6,49.53,Heat Seal with Airflow Channels,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.15,12.72,5.77,0.46,0,292,29.8,60,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,87,0.8,0.95,Hermetic Band Heat Seal,Puncture & Capsaicin Permeation Proof,No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Fresh Goat Meat (Chevon / Mutton),Fresh Meat & Poultry,Chevon Meat,71.53,5.77,5.82,0.99,0,8,0.2,85.2,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Compostable High-Barrier Vacuum Shrink Film (Cellulose/AlOx-PLA/Bio-PBS),Triplex: 20µm NatureFlex / 15µm AlOx-PLA Barrier / 45µm Bio-PBS Antimicrobial Sealant,93,1.9,1.96,Hermetic Vacuum Chamber Seal (Liquid & Drip Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"70-80% O2, 20-30% CO2 (preserves bright red oxymyoglobin bloom)",Schedule I (Meat & Meat Products) & Cl. 4(4),"IS/ISO 17088, IS 9845 (Simulant C & D)",Simulant C & D; Zero animal fat absorption; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA 312 Compostable / BioPBS™ Meat Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kandeepan et al., ICAR-NRC on Meat"
Green Chillies (Hari Mirch),Fresh Horticultural Produce,E006,85.61,0.61,5.43,0.98,43,20,7.7,92.7,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,Active Anti-Fog Micro-Perforated PLA/PBAT Produce Pouch,Monolayer: 25µm Blown PBAT/PLA with Natural Bio-Wax Anti-Fog Additive,23,8388.4,46.9,Continuous Heat Seal with Gas Vents,Medium High,Yes,"3% O2, 5% CO2, balance N2 (delays chlorophyll degradation)",Cl. 3(2) Clean Produce Packaging,"IS/ISO 17088, IS 9845",Simulant A; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NVS,ICMR-NIN IFCT 2017; ICAR-Indian Institute of Vegetable Research (IIVR) Varanasi
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.34,4.06,4.22,0.99,0,18,4.4,81.2,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,399,7,1.84,Thermal Conductive Peel Seal (105-120°C),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Kerala Banana Chips (In Coconut Oil),Indian Snacks & Namkeen,Plantain Fried Chips,1.95,32.55,5.79,0.24,0,142,29,79.6,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,High-Barrier Metallized Cellulosic Laminate with N2 Flush,Triplex: 20µm NatureFlex / 15µm Met-Cellulose / 35µm Bio-PBS Sealant,84,1.1,1.16,Hermetic Lap Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flush (prevents coconut oil rancidity),Cl. 4(5) & Acid value < 2.0,"IS/ISO 17088, IS 9845 (Fat Simulant D)",Simulant D; OML < 10 mg/dm2 in coconut oil medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / TIPA 302,ICMR-NIN IFCT 2017; ICAR-Central Plantation Crops Research Institute (CPCRI)
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.13,4.25,4.21,0.99,0,22,3.1,87.2,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,375,4.1,2.02,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Ground Turmeric (Haldi Powder),Spices & Condiments,F005,9.06,4.65,6.22,0.45,0,304,23.8,53.1,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,Light-Barrier Metallized Cellulose Paper / Bio-PBS Pouch with Bio-Zipper,Triplex: 45gsm Bleached Kraft / 19µm Met-PLA (Light & Aroma Barrier) / 30µm Bio-PBS Sealant,84,1.4,0.45,Heat Seal with Resealable Bio-Zipper,Aroma-Lock High Puncture Resistance,No,Ambient Air / N2 Flush,Cl. 5(2) (Spices & Condiments) - Protection from volatile oil loss & UV,"IS 10619, IS/ISO 17088, IS 9845",Zero light transmission below 450nm; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage Paper + BioPBS™ + NatureFlex™,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Balasubrahmanyam et al., CSIR-CFTRI"
Red Chilli Powder (Lal Mirch),Spices & Condiments,F002,9.12,12.95,5.83,0.46,0,263,30.5,46.6,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,AlOx / Metallized PLA Bio-Pouch (Capsaicin & Color Lock),Triplex: 40gsm Kraft / 15µm Met-PLA / 30µm Bio-PBS Oil-Resistant Sealant,92,1.2,0.98,Hermetic Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Nitrogen Flush,Cl. 5(2) (Spices & Condiments),"IS 10619, IS/ISO 17088",Simulant D; Total Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NKME / BioPBS™,ICMR-NIN IFCT 2017; Spice Board of India Packaging Standards
Besan (Gram Flour),Grains & Flours,Bengal Gram Flour,10.57,5.47,6.33,0.54,0,99,33.5,60.5,Fragile Insulated Cold Chain (2-8°C Refrigerated Reefer Tempo),Ambient,Virgin Kraft Paper / Bio-PBS Liner Moisture-Proof Pouch,Duplex: 60gsm Kraft / 20µm Bio-PBS Grease-Resistant Barrier,83,151.4,4.8,Heat Sealed Bottom / Ultrasonic Pinch Top,High Burst Resistance,No,Ambient Air,Schedule II & Cl. 5(3),"IS 6615, IS/ISO 17088",Simulant A & D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + BioPBS™,ICMR-NIN IFCT 2017; CSIR-CFTRI Flour Milling & Storage Manual
Dahi (Indian Curd),Dairy Products,Fermented Milk,86.03,4.23,4.14,0.99,0,25,2.7,82,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Chilled,Thermoformed PLA / Mineralized Bio-Polymer Cup + Paper-PLA Peelable Lid,Cup: 380µm Ingeo PLA with 15% Talc / Lid: 45gsm FSC Paper + 12µm Bio-PBS Lamination,354,4.8,1.22,Thermal Conductive Peel Seal (105-120°C),Rigid Top-load Compressive Strength (>15 kgf),No,Clean Air Headspace (prevents whey separation),Cl. 4(1) & Schedule I (Prohibition of Styrene Monomer Leaching),"IS/ISO 17088, IS 9845 (Simulant B)",Simulant B (3% Acetic Acid); OML < 10 mg/dm2 in acidic medium,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TotalEnergies Corbion Luminy® PLA / EarthFirst® Films,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; NDRI Dahi Packaging Bulletin
Gujarati Khakhra,Indian Snacks & Namkeen,Roasted Wheat Snack,2.74,12.35,6.07,0.25,0,106,27.4,50.6,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient,High Moisture-Barrier NatureFlex / Bio-PBAT Vacuum Pouch,Co-ex: 20µm High-Barrier Gloss NatureFlex / 35µm PBAT-BioPBS Moisture Blocker,62,28.4,1.14,Hermetic Vacuum Strip Heat Seal,High Stiffness & Anti-Cracking,Yes,Vacuum Sealed / Nitrogen Flushed,Cl. 3(1) General Requirements & Moisture Barring,"IS/ISO 17088, IS 9845",Simulant D; Migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Ecovio® F / NatureFlex™ NK,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Indian Institute of Packaging (IIP) Bulletin
Nashik Red Onions,Fresh Horticultural Produce,E015,86.7,0.09,5.57,0.95,7.5,77,26.8,67.1,Standard Urban Distribution (City Logistics / Dark Store E-Commerce),Ambient Ventilated,Extruded Tubular Compostable Bio-Mesh (PLA/PBAT),Open Mesh Netting: 250 Denier Compostable Bio-Filament,172,29859.6,273.62,Ultrasonic Heat Staple / Stitched Bio-Ribbon,Heavy Load High Tensile Strength (>25 kgf),No,Free Aeration (prevents neck rot),Cl. 3(1) Clean Agricultural Packaging,"IS/ISO 17088, IS 9845",Simulant A; Non-toxic compostable netting,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Bio-Flex® Netting / Ecovio® Extruded Mesh,"ICMR-NIN IFCT 2017; ICAR-Directorate of Onion and Garlic Research (DOGR), Pune"
Rasgulla (In Light Syrup),Traditional Sweets (Mithai),Chhana Sweet,51.93,4.41,6.12,0.92,0,116,29.4,55.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Molded Cellulose High-Barrier Can or AlOx-PLA Retort Pouch,Triplex: 15µm AlOx-PLA / 25µm Bio-PBS / 50µm Sealant,119,0.9,1.35,Hermetic Ultrasonic Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Syrup Exclusion,Schedule I (Canned Foods),"IS/ISO 17088, IS 9845",Simulant A; OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",BioPBS™ + AlOx Barrier Film,ICMR-NIN IFCT 2017; CSIR-CFTRI Chhana Sweet Preservation Bulletin
Kaju Katli,Traditional Sweets (Mithai),Cashew Nut Sweet,11.2,21.71,6.29,0.68,0,21,26.3,46.2,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,FSC Virgin Food-Grade Paper Box with NatureFlex™ Cellulose Moisture-Lock Window,Base: 300gsm Virgin Pulp Board (IS 6615) / Window & Liner: 23µm NatureFlex NVS Home Compostable,36,58.4,5.19,Tuck-in Rigid Box with Tamper-Evident Compostable Bio-Sticker,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,100% N2 Flushing (prevents fungal mold & silver vark blackening),FSSAI Mandatory Mithai Best-Before Directive & Cl. 3(2) Ban on Printed Paper/Newspaper,"IS 6615, IS 1776, IS/ISO 17088",Simulant A & D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",NatureFlex™ NVS (Futamura) + ITC Paperboards Indobev,"ICMR-NIN IFCT 2017; FSSAI Advisory on Mithai Quality; Saxena et al., CSIR-CFTRI"
Gulab Jamun (In Sugar Syrup),Traditional Sweets (Mithai),Milk Solid Sweet,37.53,12.09,5.82,0.85,0,146,22.7,69.8,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Retortable High-Barrier Bio-Pouch (AlOx-PLA / Bio-PBS),Retort Grade: 19µm AlOx-PLA / 15µm Bio-PBS / 60µm High-Temp Cast PLA Sealant,108,1.4,1.04,Hermetic Impulse Heat Seal (Liquid Tight),Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Hot Fill De-aeration / Syrup Headspace Exclusion,Schedule I (Canned & Preserved Foods) & Tin Leaching Ban (<250 mg/kg),"IS/ISO 17088, IS 9845 (Simulant A)",Simulant A (Distilled water at 95°C hot fill); OML < 60 mg/kg,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",TIPA Retortable Compostable / BioPBS™ High Thermal Grade,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Kumar & Balasubrahmanyam, CSIR-CFTRI"
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.43,0.48,5.21,0.35,0,348,25.5,66.5,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,96,0.7,0.72,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Indian Orthodox Black Tea,Beverages & Plantation Crops,Black Tea,6.53,0.5,5.16,0.35,0,220,27.5,75.9,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Multi-ply FSC Kraft Paper Sack with Metallized NatureFlex™ Cellulose Barrier Liner,4-ply Paper: 70gsm Virgin Kraft / 19µm Met-PLA Barrier / 30µm Bio-PBS Sealant,91,0.9,0.52,Hermetic Inner Liner Heat Seal + Stitched Outer Paper,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Ambient Air / N2 Flush,Cl. 5(4) & Schedule I (Tea & Coffee Packaging),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Zero volatile aroma absorption,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NKME Liner,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; IIP Mumbai Tea Packaging Standards
Chakki Fresh Whole Wheat Atta,Grains & Flours,A001,11.16,1.66,6.35,0.58,0,167,31.8,48.1,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Ambient,Multi-wall Wet-Strength FSC Kraft Paper with Bio-PBS Extrusion Liner,Duplex: 80gsm Virgin Kraft Paper / 18µm Bio-PBS Breathable Moisture Barrier,108,238.8,6.65,Heat Sealable Bottom / Pinch Top Bio-Adhesive,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air (controlled moisture ingress),Cl. 5(3) & Schedule II (Cereals and Pulses Products),"IS 6615, IS/ISO 17088, IS 9845",Simulant A; Free from recycled newspaper fibers (Cl. 3(2)),"CPCB Category IV (Certified Compostable Plastic, Form-VI)",ITC Paperboards Indobarr / Mondi EcoVantage,"ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; Haridas Rao et al., CSIR-CFTRI"
Fresh Okra (Bhindi),Fresh Horticultural Produce,E008,89.78,0.18,6.08,0.99,65.1,9,8.9,90.2,"Rough / Rural Indian Distribution (Unpaved Potholed Roads, High Dust)",Chilled,High-Breathability Starch-PBAT Bio-Film with Engineered Laser Perforations,Monolayer: 25µm Blown PBAT/Cornstarch Matrix with 80µm micro-holes,37,7585.4,50.41,Heat Seal with Airflow Channels,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,"5% O2, 8% CO2, balance N2 (prevents surface blackening & mucilage breakdown)",Cl. 3(2) Fresh Produce Clean Contact Rules,"IS/ISO 17088, IS 9845",Non-toxic compostable matrix; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mater-Bi® VF04A (Novamont) / Bio-Flex®,ICMR-NIN IFCT 2017; FSSAI Packaging Reg 2018; CIPHET Postharvest Respiration Studies
Besan Ladoo,Traditional Sweets (Mithai),Bengal Gram Sweet,5.06,24.84,6.22,0.42,0,101,29,63.1,"Interstate Indian Rail Freight (Parcel Van, High Drop Height)",Ambient,Bio-based Paper/NatureFlex Pouch with Grease-Resistant Bio-Coating,Duplex: 50gsm FSC Greaseproof Kraft / 20µm Sealable NatureFlex Bio-film,68,26.2,2.13,Band Heat Seal,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),Yes,Nitrogen Flush (residual O2 < 1.0%),FSSAI Mandatory Mithai Display & Cl. 4(5),"IS 6615, IS/ISO 17088",Simulant D; OML < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Mondi EcoVantage + NatureFlex™ NK,ICMR-NIN IFCT 2017; CSIR-CFTRI Traditional Indian Confectionery Packaging
Basmati Rice (Aged),Grains & Flours,A005,11.73,0.59,6.53,0.56,0,455,30.7,63.7,"Non-AC Truck Cargo (Summer Highway Heat, 35-42°C, Stacking Stress)",Ambient,Woven Jute Bag with Internal Compostable PLA/PBAT Liner,Outer: 250gsm Natural Jute / Inner: 40µm Blown Compostable Film Liner,102,137.6,3.29,Stitched Top / Heat Sealed Inner Liner,Reinforced Drop & Puncture Resistant (IS 2771 / ASTM D1709),No,Ambient Air,Cl. 3(1) Clean Food Contact Packaging,"IS/ISO 17088, IS 9845",Simulant A; Overall migration < 10 mg/dm2,"CPCB Category IV (Certified Compostable Plastic, Form-VI)",Indian National Jute Board + Ecovio® Liner,ICMR-NIN IFCT 2017; CSIR-CFTRI Rice Milling & Aroma Retention Studies
